price,bedrooms,room_shared,room_private,person_capacity,superhost,multi,biz,cleanliness,guest_satisfaction,dist,metro_dist,attr_index,rest_index,lng,lat
185.2584542,1,FALSE,TRUE,2,TRUE,1,0,10,97,1.092107987,0.431845766,22.66008899,36.18591216,2.179,41.38
433.8213047,2,FALSE,FALSE,4,FALSE,0,1,10,91,1.98489816,0.296548296,24.23625269,15.40204461,2.171,41.405
127.307003,1,FALSE,TRUE,2,FALSE,0,0,10,95,1.937591949,0.348145169,12.38795029,15.83045577,2.15725,41.37257
185.2584542,1,FALSE,TRUE,2,TRUE,1,0,10,97,2.121738442,0.221552791,26.29918553,14.69027197,2.17676,41.40556
289.2917821,1,FALSE,TRUE,2,FALSE,1,0,8,88,0.951693789,0.350691481,27.46431149,41.09533386,2.17739,41.38061
127.307003,1,FALSE,TRUE,2,FALSE,0,0,9,84,0.881311815,0.113579556,18.10114732,23.81619814,2.17913,41.39112
320.4785068,1,FALSE,TRUE,2,TRUE,1,0,10,99,0.971102586,0.301893149,14.09629292,23.85977789,2.15877,41.38494
299.5321991,1,FALSE,TRUE,3,FALSE,1,0,10,93,1.121631552,0.545954712,15.081591,29.75701198,2.15722,41.39018
239.718854,1,FALSE,TRUE,2,FALSE,1,0,10,60,1.326596436,0.503921906,14.06796782,27.91335102,2.15531,41.39163
295.1102009,1,FALSE,FALSE,2,TRUE,0,1,10,97,3.122012294,0.150777204,8.162056504,10.49150769,2.137,41.374
526.4505318,3,FALSE,FALSE,6,FALSE,0,0,10,98,2.430943445,0.472136014,16.84370066,14.8279329,2.17442,41.40878
703.5631997,2,FALSE,FALSE,2,TRUE,0,1,10,96,1.061608563,0.380853964,16.86240607,27.45246338,2.15864,41.39139
358.647334,1,FALSE,FALSE,4,FALSE,0,1,8,76,1.29553923,0.164566045,15.61065009,22.60791122,2.17031,41.37547
196.8952917,1,FALSE,TRUE,2,TRUE,0,0,10,98,1.143874559,0.366113535,21.64627796,36.17263703,2.181,41.381
691.9263621,2,FALSE,FALSE,4,TRUE,0,1,10,100,1.307549507,0.689925653,20.15435311,19.62742902,2.17102,41.39889
111.0154304,1,FALSE,TRUE,2,FALSE,1,0,7,88,1.018046966,0.234821359,24.83218749,38.86645884,2.18007,41.38197
619.0797589,2,FALSE,FALSE,6,FALSE,0,1,9,85,0.582247786,0.355806232,25.62000573,29.89390756,2.17696,41.38749
200.1536063,1,FALSE,TRUE,2,FALSE,1,0,10,95,1.1063666,0.348734868,16.58896185,19.45448501,2.17866,41.39468
455.4658226,1,FALSE,FALSE,4,FALSE,0,1,9,92,1.539725248,0.431803309,26.65101284,17.93888241,2.17285,41.40084
367.4913306,1,FALSE,FALSE,2,FALSE,0,1,10,96,1.783117876,0.185009075,73.606295,17.17921341,2.17382,41.40294
691.9263621,2,FALSE,FALSE,4,TRUE,0,1,10,96,1.250620556,0.786938087,19.32030436,20.66045054,2.16976,41.3984
393.0923732,2,FALSE,FALSE,6,FALSE,0,1,9,100,1.675572099,0.311234339,34.06350483,17.64463,2.17263,41.4021
482.4632858,2,FALSE,FALSE,6,TRUE,0,1,10,94,1.12179721,0.821388298,19.00877683,22.56683833,2.1698,41.39724
190.8441362,1,FALSE,TRUE,2,FALSE,0,0,10,94,0.784373673,0.18461112,25.51687357,35.2407888,2.17915,41.38554
277.6549445,2,FALSE,TRUE,5,TRUE,1,0,10,99,0.847588035,0.135811763,26.92220456,36.00156211,2.17972,41.38494
422.4172039,2,FALSE,FALSE,5,FALSE,0,1,10,93,1.98490668,0.296521819,24.23714561,15.40205141,2.171,41.405
764.7729653,2,FALSE,FALSE,6,FALSE,0,1,9,89,1.986303656,0.498294909,18.10817778,13.94969778,2.181,41.403
161.7520423,1,FALSE,TRUE,2,FALSE,0,1,9,87,2.820348291,0.581914812,10.38143318,11.00607657,2.18833,41.40847
185.2584542,1,FALSE,TRUE,2,FALSE,1,0,10,94,1.94013816,0.483278743,12.02081851,15.27266024,2.16232,41.37065
155.0026765,1,FALSE,TRUE,2,FALSE,1,0,8,76,1.590899651,0.388766113,11.44437193,17.88376831,2.15226,41.38198
652.5938511,3,FALSE,FALSE,5,TRUE,0,1,10,97,2.04990786,0.461523441,19.89135324,13.92889655,2.17997,41.40401
182.9310866,1,FALSE,TRUE,2,FALSE,1,0,9,89,0.971889375,0.28635798,29.07919851,47.87720363,2.17574,41.37952
182.9310866,1,FALSE,TRUE,2,FALSE,1,0,10,93,0.861204145,0.247921821,26.32378875,31.04358424,2.17166,41.37948
196.8952917,1,FALSE,TRUE,2,FALSE,0,0,10,90,2.13589469,0.453561148,16.70850418,13.22126639,2.18166,41.40426
167.8031978,1,FALSE,TRUE,2,TRUE,1,0,10,97,2.350906551,0.867074929,14.18820826,13.19912906,2.1652,41.408
331.8826076,2,FALSE,FALSE,4,TRUE,0,1,9,95,1.69930887,0.330863865,12.4090356,18.27652311,2.167,41.372
127.307003,1,FALSE,TRUE,2,FALSE,0,0,10,100,2.070685949,0.24214878,10.66041906,15.32094955,2.1478,41.37889
173.3888798,1,FALSE,TRUE,2,FALSE,1,0,9,93,1.230307156,0.405261807,20.34850352,43.37565575,2.18332,41.38241
